"PRIMARY","COLUMN_NAME","FILE_1_DATA","FILE_2_DATA","IMAGE_NAME"
" 645146","Q85","","B","645146.jpg"
" 645156","Q8","","C","645156.jpg"
" 645161","Q31","","A","645161.jpg"
" 645161","Q47","","A","645161.jpg"
" 645161","Q81","","B","645161.jpg"
" 645107","Q75","C","*","645107.jpg"
" 645110","Q11","*","A","645110.jpg"
" 645120","Q43","D","C","645120.jpg"
" 645120","Q100","C","D","645120.jpg"
" 645100","Q2","","C","645100.jpg"
" 666730","Q9","*","C","666730.jpg"
" 666364","Q8","C","*","666364.jpg"
" 666377","Q97","","C","666377.jpg"
" 666377","Q98","","*","666377.jpg"
" 666377","Q99","","C","666377.jpg"
" 666377","Q100","","C","666377.jpg"
" 666447","Q70","","C","666447.jpg"
" 666471","Q18","","C","666471.jpg"
" 666490","Q97","*","A","666490.jpg"
" 666493","Q57","","D","666493.jpg"
" 666493","Q68","","A","666493.jpg"
" 666497","Q72","D","*","666497.jpg"
" 666502","Q4","C","*","666502.jpg"
" 666533","Q35","","A","666533.jpg"
" 666579","Q36","","A","666579.jpg"
" 705965","Q44","C","*","705965.jpg"
" 705989","Q99","C","","705989.jpg"
" 706071","Q51","","C","706071.jpg"
" 706116","Q48","C","*","706116.jpg"
" 706142","Q67","D","*","706142.jpg"
" 706187","Q1","","A","706187.jpg"
" 706264","Q10","C","*","706264.jpg"
" 706264","Q84","D","*","706264.jpg"
" 706317","Q88","C","*","706317.jpg"
" 706327","Q20","","A","706327.jpg"
" 706342","Q57","A","*","706342.jpg"
" 706352","Q77","A","*","706352.jpg"
" 769842","Q40","C","*","769842.jpg"
" 769865","Q85","C","*","769865.jpg"
" 769824","Q7","A","*","769824.jpg"
" 769824","Q39","","B","769824.jpg"
" 764808","Q51","","C","764808.jpg"
" 764808","Q71","*","C","764808.jpg"
" 764822","Q60","","A","764822.jpg"
" 764971","Q58","","B","764971.jpg"
" 764995","Q77","*","C","764995.jpg"
" 765027","Q46","","D","765027.jpg"
" 765071","Q47","*","C","765071.jpg"
" 610145","Q72","D","*","610145.jpg"
" 610056","Q95","D","*","610056.jpg"
" 610057","Q75","D","*","610057.jpg"
" 610061","Q89","","B","610061.jpg"
" 610061","Q91","","B","610061.jpg"
" 610485","Q61","C","*","610485.jpg"
" 610409","Q83","*","B","610409.jpg"
" 610328","Q73","D","*","610328.jpg"
" 610230","Q28","","B","610230.jpg"
" 610245","Q4","","B","610245.jpg"
" 610176","Q90","C","*","610176.jpg"
" 610150","Q85","","B","610150.jpg"
" 610104","Q81","D","*","610104.jpg"
" 610109","Q67","D","*","610109.jpg"
" 630799","Q50","","B","630799.jpg"
" 630771","Q36","C","*","630771.jpg"
" 630705","Q58","B","*","630705.jpg"
" 630700","Q15","","A","630700.jpg"
" 630565","Q1","*","A","630565.jpg"
" 630499","Q29","A","*","630499.jpg"
" 602289","Q42","B","","602289.jpg"
" 602291","Q72","*","D","602291.jpg"
" 674060","Q64","D","*","674060.jpg"
" 673932","Q37","*","D","673932.jpg"
" 673638","Q94","D","*","673638.jpg"
" 673786","Q42","C","*","673786.jpg"
" 673908","Q86","*","D","673908.jpg"
" 673865","Q43","*","C","673865.jpg"
" 673587","Q9","B","","673587.jpg"
" 673614","Q72","","D","673614.jpg"
" 733589","Q29","*","B","733589.jpg"
" 733607","Q54","A","*","733607.jpg"
" 733817","Q90","C","*","733817.jpg"
" 730230","Q60","C","*","730230.jpg"
" 730231","Q12","","C","730231.jpg"
" 730243","Q94","D","*","730243.jpg"
" 730280","Q5","","C","730280.jpg"
" 730280","Q72","A","*","730280.jpg"
" 730363","Q74","","C","730363.jpg"
